"","25%","50%","75%","80%","90%","95%","99%","100%","n"
"<= 16",0,0,0,0,0,0,0,0,0
"16-24",2.4,2.9,3.5,3.7,4.2,4.605,5.46099999999999,6.8,1040
"25-34",3,3.7,4.4,4.6,5.2,5.6,6.73299999999999,9.2,1568
"35-44",3.5,4.1,4.9,5.1,5.7,6.2,7.1,9.9,2286
"45-54",3.7,4.4,5.1,5.3,5.8,6.1,7.3,10.7,2275
"55-64",3.7,4.4,5,5.2,5.7,6.1,7.01700000000001,14,2084
"65-74",3.5,4.2,4.9,5,5.5,6,6.8,8.5,1397
">=75",3.2,3.8,4.5,4.7,5.2,5.6,6.498,7.7,752
