"","age","75%","80%","90%","95%","97.5%","99%","99.5%"
"8",16,5.30244861465591,5.54685394539741,6.19018766156103,6.72146374840704,7.18226652242935,7.71804933176333,8.082879404834
"162",17,5.34047266573932,5.58614721619771,6.23282182445487,6.76685687765605,7.23005264353583,7.76861782305591,8.13534249278144
"289",18,5.37802191836942,5.62494170428926,6.27489407230101,6.81163595608216,7.27717949380966,7.81847446548194,8.18705792995231
"126",19,5.41488739565839,5.66302196897562,6.31617195010138,6.85555447798336,7.32338838065857,7.86734639655556,8.23774320516866
"699",20,5.45087607448577,5.7001892005874,6.35644141659563,6.89838582358861,7.36844177432938,7.91498340131155,8.28713946573609
"32",21,5.48616481729136,5.73662661027361,6.39590239426498,6.94034371588567,7.41256536769118,7.96162509019284,8.3354957989777
"14",22,5.52126036548094,5.77285777262722,6.43512276670684,6.98203262961263,7.45639537283957,8.007944576832,8.3835104458541
"214",23,5.55669257316556,5.80942971983584,6.4746947829451,7.02408215463722,7.50059376725556,8.05464149630972,8.43190868359916
"115",24,5.59300116605595,5.84689926528282,6.51522023523443,7.06713122754238,7.54583170468737,8.10242446179139,8.48142463258314
"49",25,5.63045865091039,5.88554711926814,6.55700142757309,7.11149998477513,7.59244478857189,8.1516470604322,8.53242412559725
"239",26,5.66882842968056,5.92512864058538,6.59977254722468,7.15690512978418,7.64013455775585,8.20199319895185,8.58457906313387
"142",27,5.70781255652582,5.96533610693158,6.64320013788194,7.20299195467735,7.68852787176649,8.25306830501913,8.63748027928709
"232",28,5.74710538280922,6.00585409320748,6.68694304044131,7.24939804876615,7.73724388733473,8.30447010350658,8.69071090535465
"41",29,5.78636812387127,6.04633326060831,6.73062413504476,7.29572335011927,7.78586264370212,8.35575549696884,8.74381208944928
"17",30,5.82514823636106,6.08630728686974,6.77374083000805,7.3414353151395,7.83382561845379,8.4063357570012,8.79617453503065
"39",31,5.86295462152851,6.12527045858981,6.81574894264426,7.38595799254041,7.88052930578104,8.45557533970797,8.84714088253931
"136",32,5.89928488916694,6.16270577090854,6.85609299880483,7.42870413957093,7.92535890840787,8.50282740972312,8.89604248094337
