"","age","75%","80%","90%","95%","97.5%","99%","99.5%"
"8",16,3.51850259633436,3.69173734022031,4.1477329243374,4.52430194825465,4.85091941726608,5.2306828106089,5.48927473280038
"162",17,3.54821949189447,3.72287090284891,4.18259549601411,4.56224399996656,4.89153245865341,5.27440145472407,5.53510807199421
"289",18,3.57774181215829,3.75379106880009,4.21719512860352,4.59988219961397,4.93180616207005,5.31773950083371,5.58053271802665
"126",19,3.60696702064581,3.78439079506382,4.25141291682286,4.63708784584456,4.97160332953424,5.36054987178812,5.62539486673571
"699",20,3.63580572949895,3.81457691816232,4.28514575885361,4.67374962958647,5.01080553340585,5.40270586307315,5.66956217764336
"32",21,3.66444951920095,3.84455033953825,4.31861909114934,4.71011324872876,5.04967604534755,5.44449117966121,5.71333226935594
"14",22,3.69334130672989,3.874774612158,4.35235078556957,4.74674143261046,5.08881650187209,5.4865526960627,5.75738282025013
"214",23,3.72294379343745,3.90573344557203,4.3868798503056,4.78421885599494,5.12885118668365,5.52956074993548,5.80241552745811
"115",24,3.75372994380379,3.9379207162314,4.42275520715432,4.82313989807575,5.17041390648813,5.57419499098927,5.84914125652217
"49",25,3.78597609411716,3.97162421593475,4.46029480157769,4.8638474057305,5.21386910642761,5.62084497701616,5.89796666516698
"239",26,3.81958026899417,4.00673613147144,4.49937545379727,4.90620550920381,5.25906991008418,5.66935103397446,5.9487233650772
"142",27,3.854396422494,4.04310273410704,4.53982321211476,4.95002355632476,5.30581118011756,5.71949118238408,6.00117790847067
"232",28,3.89027437256709,4.08056615899837,4.5814599887231,4.9951067588137,5.35388364307871,5.77103930665615,6.05509271145647
"41",29,3.92699916879741,4.11890114345953,4.62403337655758,5.04118029330936,5.40299303281214,5.82367853418509,6.11013550804069
"17",30,3.96409731319345,4.15761297374866,4.66699281690979,5.08764748336605,5.45250267261281,5.87672567931989,6.16559144328046
"39",31,4.00101424797597,4.19612305056458,4.70969642740032,5.13381418634611,5.50167309186277,5.92938856786965,6.22063245559164
"136",32,4.03717786818561,4.23383522742125,4.75148477845252,5.17896871240437,5.54974727272771,5.98085747841678,6.27441293615639
"55",33,4.07205558408768,4.27019526822686,4.79174665554731,5.22245279325306,5.59602613479284,6.03038587762889,6.32615403957274
"27",34,4.10568042889313,4.30523894380025,4.83052503554706,5.26431535662967,5.64056376729234,6.07803385609551,6.3759199429274
"191",35,4.13842891758487,4.33935973745679,4.86825806650645,5.30503143550152,5.68386719535445,6.12434563674583,6.42428019821232
"59",36,4.17069347549353,4.37296722088969,4.9054004534761,5.34509300682479,5.72646072375491,6.16988311243222,6.47182229309277
"63",37,4.20288106225499,4.40648563687855,4.94242193263404,5.38500737601115,5.76888424361272,6.21522406220058,6.51914980560428
"60",38,4.23552551547817,4.44047084525028,4.97993633159076,5.42543624146733,5.81184097411119,6.26111998211008,6.56704710493266
"53",39,4.26931878333403,4.47564265751579,5.01873680488123,5.46723332566347,5.85623717137149,6.30853821000429,6.61652312123999
"75",40,4.30498117774688,4.51274960915491,5.05964617918345,5.51128280623126,5.90301022582812,6.35847800770089,6.66861924636537
"12",41,4.34325473352747,4.55256195031214,5.10350897419833,5.55849053595323,5.95311918756508,6.41196027864333,6.72439850150081
"216",42,4.38478695237035,4.59575063926133,5.15105789156798,5.6096402052107,6.00739197209078,6.46986435960781,6.78477523765695
"33",43,4.4299272388124,4.64267580115384,5.20268127568397,5.66514346233088,6.06626044042119,6.53264561322916,6.85022082040334
"116",44,4.47898831386777,4.69365876952142,5.25872313029949,5.7253630325271,6.13010355584432,6.60070188306644,6.92114594942384
"90",45,4.53230050803434,4.74903848737957,5.31954506865148,5.79067925049645,6.19931789113195,6.67444862216245,6.99797893388606
"292",46,4.59010127181553,4.80905671472088,5.38540019434629,5.86135458759734,6.2741740427703,6.75416587422048,7.0810062503777
"5",47,4.65192926970647,4.87322944210991,5.45574481470028,5.93679606368962,6.35403628110116,6.8391682040289,7.16950861773245
"141",48,4.71702518723279,4.94076424493143,5.52969935123013,6.01605212712139,6.43789062848255,6.92836905024131,7.26235005025186
"20",49,4.78459290584886,5.01083187194408,5.60634733945649,6.09813429121608,6.52468612972274,7.02064482451699,7.35835750157496
"26",50,4.85378703142482,5.08255349755095,5.68472195410645,6.18200305904943,6.61332025607775,7.11481970999968,7.45630525084163
"51",51,4.92357502079314,5.15485805681542,5.76365073166584,6.26640223041178,6.70246417824259,7.20948043036507,7.55472251929995
"86",52,4.99274929646516,5.22649518860514,5.84177069414412,6.34987582636731,6.79058125283097,7.30299655237081,7.65191500947105
"157",53,5.06003767297215,5.29614979236239,5.9176537781296,6.43090249682978,6.87606921747872,7.39367173564355,7.74612232053329
"9",54,5.12411336384922,5.3624522996729,5.98981780280958,6.50790706372415,6.95727223285476,7.47975635471028,7.83553096530625
"16",55,5.18394127366844,5.42433660462846,6.05711503522033,6.57967438505536,7.03291668968231,7.55990881944383,7.91875306352766
"22",56,5.23907116017768,5.48134229053194,6.11905827707405,6.64569514583575,7.10247409003497,7.63357832760586,7.9952226253055
"62",57,5.28911536205281,5.53307365510751,6.17523066037273,6.70553499904863,7.16549492645404,7.70029774444748,8.06446051295713
"61",58,5.33369055649714,5.57913933460682,6.22521965564584,6.75876393620478,7.22153403000831,7.75960427374734,8.12599192732748
"6",59,5.37245311405562,5.61918873007999,6.26865631855402,6.80499786302554,7.27019416610614,7.81108540246018,8.17939395182859
"2",60,5.40520082159621,5.65301694472769,6.30532868823894,6.84401898503076,7.31125248047042,7.85451239320151,8.22443384309725
"98",61,5.43178057162333,5.68046925884418,6.3350778012694,6.87566483424747,7.3445434654609,7.88971620406086,8.26094015263584
"196",62,5.45205758665259,5.70140928273451,6.35776302422372,6.89979127271122,7.36991994344488,7.91654612313436,8.28875976195258
"13",63,5.4659713449534,5.7157766694602,6.37332447025837,6.91633879353286,7.38732273708698,7.93494335626408,8.3078341378062
"92",64,5.47401855737654,5.72408575681373,6.38232287552335,6.92590644942685,7.39738413300702,7.94557883166704,8.31886052059934
"46",65,5.4770207814288,5.72718558896201,6.38567963569754,6.92947538519944,7.40113709946864,7.94954577357571,8.32297316460338
"10",66,5.47581917616815,5.72594492314018,6.38433615306764,6.92804699467482,7.39963506400798,7.94795810996144,8.32132719429282
"23",67,5.47125940694192,5.72123685738279,6.37923773511049,6.92262621713357,7.39393468760229,7.94193263945146,8.31508035776707
"19",68,5.46402661313754,5.71376859805585,6.37114967379642,6.91402631264065,7.38489083548493,7.93237260227873,8.30516883520103
"185",69,5.45461050528206,5.70404551396441,6.36061855429079,6.90282790354317,7.37311365218207,7.91992246888267,8.29226047054521
"74",70,5.44348903462907,5.69256083848639,6.34817783620475,6.88959766896999,7.35919862980003,7.90521123268267,8.27700706923591
"58",71,5.43113836028858,5.67980601142555,6.33435918180968,6.87490048760049,7.34373945729844,7.88886608081537,8.26005862829122
"226",72,5.41801155663277,5.66624872590745,6.31966876431216,6.85927431015632,7.32730164765417,7.87148457333586,8.24203452955236
"4",73,5.40450615800597,5.65229942354506,6.304551000366,6.84319161046647,7.31038201011137,7.85359181466756,8.22347914445196
"43",74,5.3910079531323,5.63835652740177,6.28943756965963,6.82711153211429,7.29346350908647,7.83569846609328,8.20492199387345
"76",75,5.37789921504791,5.62481494485298,6.27475663619344,6.81148970299515,7.27702559330789,7.81831167320784,8.18688908301221
"11",76,5.3654232589195,5.6119261342155,6.26078109301722,6.79661671733127,7.26137421012514,7.80175523468916,8.16971636603407
"359",77,5.35300408871732,5.59909510930784,6.24686596729476,6.7818063224442,7.24578730275283,7.78526546373989,8.15261180905767
"42",78,5.33976596885753,5.58541700611899,6.23202972197669,6.76601366336611,7.22916509737171,7.76767873150744,8.13436830248399
"1",79,5.3248408562114,5.56999463557647,6.21529844884436,6.74820147588325,7.21041537789082,7.7478389284679,8.11378622989524
"40",80,5.30740656476379,5.55197786241512,6.19574844347253,6.7273853008882,7.18850098957654,7.72464762983407,8.08972544594559
"29",81,5.28723151621552,5.53112656419372,6.17311709317969,6.70328395287078,7.16312463775966,7.69778881055801,8.06185717152832
"102",82,5.26455835380012,5.50769058394349,6.14767319259911,6.67618187702438,7.13458434216044,7.66757627368108,8.03050595700643
"28",83,5.23964317660282,5.48193367495504,6.11970064273421,6.64637961268142,7.10319507338036,7.63434176927378,7.99601497807814
"240",84,5.21274065057948,5.45411814835801,6.08948187865399,6.61417621360733,7.0692702994256,7.59841552501226,7.95872587456555
"93",85,5.184082271439,5.42448242309549,6.05727354292196,6.57984337174594,7.03309476533302,7.56009746297494,7.91894890303539
"7",86,5.15386116002906,5.39322530622527,6.02328941007092,6.54360722202923,6.99490532683759,7.51963690414709,7.87694187242385
