"","age","75%","80%","90%","95%","97.5%","99%","99.5%"
"61",16,4.95037532398609,5.18261623942282,5.79393028367817,6.29876397279792,6.73663191025268,7.24574801560717,7.59241995558378
"34",17,5.03385456450235,5.26904935638497,5.88813871513638,6.39939339317008,6.84283058092007,7.35842214331883,7.70950341003283
"347",18,5.11848455755929,5.3566288950399,5.98348216845222,6.50114842121925,6.95014669386675,7.47220421927031,7.82768834795452
"1055",19,5.20417293874827,5.44525876519833,6.07985474628412,6.60391506068823,7.05845922823404,7.58696505498559,7.94684001930503
"529",20,5.29081790204444,5.53483333552348,6.17714074815266,6.70756929582578,7.16763695601249,7.70256503664643,8.0668131001254
"237",21,5.37818796361407,5.62511323823538,6.27508005383183,6.81183386867778,7.27738775482466,7.8186947587709,8.18728641636599
"315",22,5.46587175494395,5.71567383632734,6.37321310044331,6.9162203739783,7.38719820293475,7.93481171257063,8.30769765301969
"15",23,5.55342162839166,5.80605384228886,6.47104269705747,7.02020197113448,7.49651574308882,8.05033343961555,8.42744399107731
"28",24,5.64036437458053,5.89576640687518,6.56804609101041,7.12322625781919,7.60476225629866,8.16465191974127,8.54589704979536
"320",25,5.72619105004613,5.98428862380533,6.6636636225239,7.22470322258183,7.71132140556433,8.27712020680753,8.66238904038105
"239",26,5.81031125888712,6.07101440878404,6.75724791167002,7.32395138284822,7.81548212935193,8.38699284734738,8.77615109090157
"492",27,5.89208843652949,6.15529093487156,6.8481033250442,7.42023975489633,7.91648278281093,8.49347254632223,8.88636163107006
"26",28,5.97085959193825,6.23643894828039,6.93550780137611,7.51281092629762,8.01353529165511,8.59573557840994,8.99217265973877
"198",29,6.04594711066128,6.31376484556048,7.01872565032076,7.60089445062284,8.10583906373546,8.69294630054744,9.09272466665943
"457",30,6.11698417731136,6.38689552351314,7.0973672176448,7.68408700550856,8.19297892162405,8.78467575123234,9.18757930435308
"87",31,6.18401781522679,6.45588380097074,7.17150057731728,7.762469262879,8.27504646409244,8.87102823405764,9.27684952749456
"38",32,6.24713670177873,6.52082490818904,7.2412382083651,7.83616794609396,8.35218076933494,8.95215719238273,9.36069856110133
"200",33,6.30644509475119,6.58182965583669,7.30670817022804,7.90532535892617,8.42453649595875,9.02823164997997,9.43930521060382
